"","feature","EM_ClimatePriorityArea_MHW_SumCumInt_585","EM_ClimatePriorityArea_velocity_585","EM_ClimatePriorityArea_o2os_585","EM_ClimatePriorityArea_phos_585","EM_ClimatePriorityArea_tos_585"
"1","Abalistes_filamentosus",63.2369942196532,66.7052023121387,64.7398843930636,72.7167630057804,66.242774566474
"2","Abalistes_stellaris",61.8997912317328,59.4989561586639,57.8288100208768,67.3277661795407,70.0417536534447
"3","Abdopus_abaculus",53.3149171270718,56.9060773480663,63.2596685082873,75.6906077348066,58.8397790055249
"4","Abietinaria_immersa",64.1833810888252,83.3810888252149,53.8681948424069,60.7449856733524,57.3065902578797
"5","Ablennes_hians",61.4218009478673,62.2748815165877,64.0758293838863,67.8672985781991,75.3554502369668
"6","Abralia_andamanica",60.1904761904762,59.3333333333333,58.952380952381,67.8095238095238,70.5714285714286
"7","Abralia_astrosticta",63.6138613861386,67.0792079207921,66.5841584158416,68.0693069306931,69.5544554455445
"8","Abraliopsis_hoylei",60.1983613626563,62.6563173781802,61.4057783527383,59.5515308322553,68.8658904700302
"9","Abudefduf_septemfasciatus",60.4166666666667,62.5992063492063,62.6984126984127,68.1547619047619,74.4047619047619
"10","Abudefduf_sexfasciatus",61.5510204081633,64.5714285714286,62.4489795918367,66.8571428571429,73.469387755102
"11","Abudefduf_sordidus",61.5900383141762,62.7394636015326,63.7931034482759,68.1034482758621,75.1915708812261
"12","Abudefduf_vaigiensis",62.1960784313725,64.078431372549,63.3725490196078,67.3725490196078,74.2745098039216
"13","Abyla_haeckeli",62.6769626769627,64.2213642213642,64.0926640926641,65.4440154440154,74.002574002574
"14","Abylopsis_eschscholtzi",63.0800268997982,64.4250168123739,64.3577673167451,65.7700067249496,73.7726967047747
"15","Abylopsis_tetragona",63.2138114209827,65.6042496679947,66.0026560424967,64.4754316069057,73.6387782204515
"16","Acalyptophis_peronii",53.1782945736434,52.2480620155039,53.4883720930233,63.5658914728682,67.2868217054264
"17","Acanthanas_pusillus",60.1702932828761,59.9810785241249,64.7114474929045,66.887417218543,74.1721854304636
"18","Acanthaster_planci",62.436177972283,63.8220277169949,64.2596644784829,66.5937272064187,74.835886214442
"19","Acanthastrea_echinata",61.9860356865787,64.8564778898371,63.8479441427463,66.6408068269977,74.1660201706749
"20","Acanthastrea_ishigakiensis",59.6606974552309,62.7709707822809,59.37794533459,65.8812441093308,69.5570216776626
